phase,experiment,main_change,dataset_size,fid_legacy_project,clip_mmd2_unbiased,comparison_scope,entry_point,interpretation
phase2,00_baseline,initial standardized baseline,8000,109.40,,phase2_8k_legacy,02_selected_experiments/phase2_00_baseline.py,historical baseline
phase2,13_D_SN_Hinge,spectral normalization plus Hinge loss,8000,96.25,,phase2_8k_legacy,02_selected_experiments/phase2_13_d_sn_hinge.py,selected discriminator baseline
phase2,19_D_SN_Hinge_R1,R1 gradient penalty,8000,89.92,,phase2_8k_legacy,02_selected_experiments/phase2_19_d_sn_hinge_r1.py,representative regularization result
phase3,03_G_Width3x,Generator Width x3,10000,59.00,,phase3_10k_legacy,02_selected_experiments/phase3_03_g_width3x.py,best width-only result
phase3,09_G_Width3x_20K,20K images with architecture fixed,20000,49.17,,phase3_20k_legacy,02_selected_experiments/phase3_09_g_width3x_20k.py,data-scale improvement
phase3,10_G_Width3x_20K_Laplacian,Laplacian auxiliary loss,20000,53.74,,phase3_20k_legacy,02_selected_experiments/phase3_10_g_width3x_20k_laplacian.py,negative result versus Exp09
phase3,11_G_DiffAug_EMA_20K,DiffAugment plus EMA,20000,38.88,,phase3_20k_legacy,01_public_core/final_exp11_diffaug_ema.py,recommended frozen baseline
phase5,E0_exp11_formal_eval,formal evaluation control,20000,37.792329,,phase5_20k_legacy,02_selected_experiments/clip_E0_formal_eval.py,legacy protocol control
phase5,C0_continue_L0,50-epoch continuation without CLIP,20000,33.784594,0.042831987,phase5_matched_continuation,02_selected_experiments/clip_C0_no_clip_control.py,matched no-CLIP control
phase5,C1_clip_L001,CLIP MMD lambda 0.01,20000,33.411419,0.042657375,phase5_matched_continuation,02_selected_experiments/clip_C1_lambda_001.py,best local legacy FID in sweep
phase5,C2_clip_L0025,CLIP MMD lambda 0.025,20000,33.668703,0.042298019,phase5_matched_continuation,02_selected_experiments/full_process/phase5_clip_tuning/clip_C2_lambda_0025.py,intermediate CLIP setting
phase5,C3_clip_L005,CLIP MMD lambda 0.05,20000,33.471816,0.041855961,phase5_matched_continuation,02_selected_experiments/clip_C3_lambda_005.py,better CLIP distribution metric
phase5,C4_clip_L010,CLIP MMD lambda 0.10,20000,33.623147,0.040990949,phase5_matched_continuation,02_selected_experiments/clip_C4_lambda_010.py,lowest CLIP MMD in local sweep
phase6,B1_Formal_CleanUnique_17K,Exp11 recipe on SHA-256 exact-deduplicated original contents,17029,45.07,,phase6_clean_unique_17k_legacy,01_public_core/phase6_b1_formal_clean_unique_17k.py,formal M0 data-quality baseline; not directly comparable to path-based 20K rows
phase7,FT_A0_4K_100E,4K fine-tune control from Exp11,4000,37.91,,phase7_4k_finetune,02_selected_experiments/full_process/phase7_sdxl_controlled_study/03_Ablation/FT_A0_Baseline_4K_100E.py,controlled SDXL study A0; not comparable to 20K rows
phase7,FT_A10_4K_100E,10% SDXL replacement,4000,37.99,,phase7_4k_finetune,02_selected_experiments/full_process/phase7_sdxl_controlled_study/03_Ablation/FT_A10_90ori_10sdxl_4K_100E.py,near-neutral FID with lower coverage
phase7,FT_A20_4K_100E,20% SDXL replacement,4000,41.58,,phase7_4k_finetune,02_selected_experiments/full_process/phase7_sdxl_controlled_study/03_Ablation/FT_A20_80ori_20sdxl_4K_100E.py,negative result; coverage warning region
phase7,FT_A30_4K_100E,30% SDXL replacement,4000,44.92,,phase7_4k_finetune,02_selected_experiments/full_process/phase7_sdxl_controlled_study/03_Ablation/FT_A30_70ori_30sdxl_4K_100E.py,negative result; coverage abort region
phase7,FT_A50_4K_100E,50% SDXL replacement,4000,49.94,,phase7_4k_finetune,02_selected_experiments/full_process/phase7_sdxl_controlled_study/03_Ablation/FT_A50_50ori_50sdxl_4K_100E.py,negative result; coverage collapse
