sample_id,pose,hair,modifier,seed,prompt,negative,model_id,preview_path,image_64_path,manual_keep,reject_reason
S001,profile,purple,,20260805,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S001.jpg,images_64/S001.png,,
S002,profile,purple,,20260806,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S002.jpg,images_64/S002.png,,
S003,profile,silver,,20260905,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S003.jpg,images_64/S003.png,,
S004,profile,silver,,20260906,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, silver hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S004.jpg,images_64/S004.png,,
S005,profile,blonde,,20261005,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S005.jpg,images_64/S005.png,,
S006,profile,blonde,,20261006,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, blonde hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S006.jpg,images_64/S006.png,,
S007,profile,blue,,20261105,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, blue hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S007.jpg,images_64/S007.png,,
S008,profile,blue,,20261106,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, exact side profile, face turned 90 degrees, one eye, one ear, nose silhouette, blue hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, front view, facing viewer, two eyes visible, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S008.jpg,images_64/S008.png,,
S009,three_quarter,purple,,20261205,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S009.jpg,images_64/S009.png,,
S010,three_quarter,purple,,20261206,"masterpiece, high score, great score, absurdres, 1girl, solo, anime illustration, 2d, clean line art, soft cel shading, head and shoulders, simple light background, three-quarter view, head turned about 45 degrees, both eyes visible, purple hair","lowres, worst quality, low quality, bad anatomy, bad face, deformed, malformed, 3d, realistic, photorealistic, western cartoon, multiple people, collage, grid, split screen, text, watermark, signature, blurry, jpeg artifacts, extra eyes, crossed eyes, asymmetrical eyes, chibi, exact front view, symmetrical face, glasses, eyewear, closed eyes",cagliostrolab/animagine-xl-4.0,previews_256/S010.jpg,images_64/S010.png,,
